Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeCodecGedcom\FamilyTreeCodecGedcom.csproj,File,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeCodecGedcom\FamilyTreeCodecGedcom.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeCodecGeni\FamilyTreeCodecGeni.csproj,File,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeCodecGeni\FamilyTreeCodecGeni.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeCodecText\FamilyTreeCodecText.csproj,File,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeCodecText\FamilyTreeCodecText.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeLibrary\FamilyTreeLibrary.csproj,File,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeLibrary\FamilyTreeLibrary.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeTools\FamilyTreeTools.csproj,File,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeTools\FamilyTreeTools.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyTreeWebApp.csproj,File,FamilyTreeWebApp.csproj,,,Microsoft.AspNetCore.DataProtection 6.0.0,,,,,"Microsoft.AspNetCore.DataProtection, 6.0.0  Recommendation:  Remove Microsoft.AspNetCore.DataProtection, and replace with new package Microsoft.AspNetCore.DataProtection 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyTreeWebApp.csproj,File,FamilyTreeWebApp.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 6.0.0,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 6.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyTreeWebApp.csproj,File,FamilyTreeWebApp.csproj,,,Microsoft.AspNetCore.Identity.UI 6.0.0,,,,,"Microsoft.AspNetCore.Identity.UI, 6.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyTreeWebApp.csproj,File,FamilyTreeWebApp.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.0,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyTreeWebApp.csproj,File,FamilyTreeWebApp.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.0,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyTreeWebApp.csproj,File,FamilyTreeWebApp.csproj,,,Microsoft.Extensions.Logging.Debug 6.0.0,,,,,"Microsoft.Extensions.Logging.Debug, 6.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyTreeWebApp.csproj,File,FamilyTreeWebApp.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 6.0.0,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 6.0.0  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FamilyTreeWebApp.csproj,File,FamilyTreeWebApp.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeWebTools\FamilyTreeWebTools.csproj,File,%USERPROFILE%\OneDrive\Visual Studio\Projects\ImproveYourTree\FamilyTreeWebTools\FamilyTreeWebTools.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
